fly: flying fly flew flyer flown
go: goes went gone go going
work: working works wrought work worked
eat: eat eaten eating eats ate
sing: sang sing singing singed sung
side: sider side sided siding sides
sink: sunk sinking sink sank sunken
dry: dry drying drier driest dried
rise: risen rose rising rise
bear: bearing bear born borne
draw: drawing drawn draw drew
give: giving gave give given
tear: tore tear torn tearing
top: topped top tops topping
bar: baring bar barred barring
choose: choosing choose chose chosen
light: lighter light lit lighting
break: broke break broken breaking
arch: arching arch arches arched
travel: traveled travelled travel traveling
turn: turns turned turn turning
speak: spoken speak speaking spoke
trap: trap trapping trapped traps
fit: fit fitted fitting fitter
strip: stripped strip striped stripping
leave: leaves leaving left leave
mistake: mistaken mistaking mistake mistook
swim: swim swam swimming swum
man: manning maned manes man
grow: grew grown grow growing
clothe: clad clothes clothing clothe
round: rounding round rounded rounder
wear: wore wear wearing worn
drive: driving drive driven drove
color: coloring colored colors color
steal: steal stole stealing stolen
learn: learning learned learn learnt
know: known knowing knew know
melt: melted melting melt molten
prove: prove proving proved proven
shrink: shrink shrinking shrunk shrank
burn: burnt burn burning burned
quarter: quarters quartering quarter quartered
bite: bite biting bit bitten
time: time timed timing times
throw: thrown throw threw throwing
link: linked link links linking
scale: scaling scaled scale scales
warm: warmed warmer warm warming
write: writing wrote written write
swell: swelled swollen swelling swell
stick: stuck sticks sticking stick
come: come came coming comes
spark: sparks spark sparked sparking
surround: surrounding surround surrounded surroundings
take: take taking took taken
spin: spinning spined spun spin
dig: digging dig dug digs
shake: shake shaking shook shaken
subdue: subdue subdued subduing
chip: chip chipping chips
ring: ringed ring ringing
engage: engage engaged engaging
provide: providing provided provide
ride: ridden ride rode
bond: bond bonding bonded
skin: skin skinning skinned
close: close closer closed
reduce: reduce reduced reducing
lay: laying lay laid
bad: worst worse bad
lead: leading led lead
rid: rid riding ridding
blink: blinks blinking blink
content: contents content contented
shell: shelled shelling shell
freeze: frozen freezing freeze
sound: sound sounding sounder
stag: stag staging staged
load: loading load loaded
stuff: stuff stuffing stuffed
deal: dealt deal dealing
cool: cooling cooler cool
stop: stopping stopped stop
dive: diving dive dove
guard: guarded guarding guard
wet: wetter wetting wet
thin: thinning thin thinner
train: trained training train
bridge: bridging bridged bridge
ground: grounds grounded ground
curl: curled curling curl
distinguish: distinguishing distinguished distinguish
seal: seal sealing sealed
sole: sole soles soler
proceed: proceeding proceed proceeds
plot: plotted plot plotting
seat: seat seating seated
stock: stocking stock stocks
perturb: perturbing perturb perturbed
tan: tanning tanner tan
oppose: opposed opposing oppose
cap: capping capped cap
ramp: ramped ramping ramp
tell: told telling tell
crush: crushing crush crushed
graft: grafted graft grafting
fill: filling fill filled
fold: folding fold folded
clear: clearing clear clearer
damp: damped damp damping
cluster: clustered clustering cluster
index: indices indexed index
weigh: weighing weighed weigh
single: single singled singles
sack: sack sacked sacking
scar: scar scarring scarred
face: faced facing face
shade: shading shade shaded
strike: striking struck strike
net: netting net netted
lime: lime limes liming
spend: spend spending spent
end: ending end ended
satisfy: satisfy satisfying satisfied
fight: fighting fought fight
assume: assuming assumed assume
wash: wash washing washed
undertake: undertook undertake undertaking
find: find finding found
slash: slashed slashing slash
keel: keeling keeled keel
measure: measured measuring measure
forget: forget forgot forgotten
confirm: confirmed confirm confirming
reverse: reverse reversing reversed
long: longing longer long
admire: admired admire admiring
blend: blended blend blending
fringe: fringe fringing fringed
shoot: shoot shot shooting
underlie: underlain underlying underlie
mat: matted mat mating
space: space spacing spaced
paint: painted paint painting
sight: sighted sighting sight
say: said saying say
slice: sliced slicing slice
crouch: crouched crouch crouching
smoke: smoking smoked smoke
blue: blues bluer blue
warp: warping warped warp
reason: reasoned reasoning reason
waste: wasting wasted waste
carry: carrying carried carry
arise: arise arose arisen
brace: brace bracing braces
shore: shoring shored shore
frame: framed framing frame
slip: slip slipped slipping
white: whites whiting white
handle: handled handling handle
shadow: shadowed shadow shadowing
remove: removing remove removed
run: run ran running
zone: zone zoned zoning
agree: agreeing agree agreed
fall: falling fallen fall
sport: sports sport sporting
tail: tail tailed tailing
good: good better goods
screen: screened screening screen
transport: transport transporting transported
frighten: frightened frightening frighten
advance: advance advanced advancing
pin: pinned pinning pin
count: countess counting count
pattern: patterned pattern patterning
get: got getting get
fix: fixing fixed fix
send: send sending sent
traverse: traversed traverse traversing
breed: breed bred breeding
wish: wish wished wishing
extend: extend extending extended
swing: swung swinging swing
list: listed list listing
understand: understood understanding understand
wheel: wheeling wheeled wheel
swear: swore sworn swear
roll: rolling rolled roll
make: make made making
garden: gardened garden gardening
wind: winding wound wind
border: bordering border bordered
land: landed landing land
lock: locking locked lock
chill: chilled chilling chill
confine: confine confined confining
watch: watching watch watched
coat: coat coating coated
sweep: sweep swept sweeping
log: log logged logging
dress: dressed dressing dress
forward: forwarder forward forwards
bead: beading beaded bead
ski: skied ski skiing
save: saved saving save
fund: funds fund funded
correct: corrected correct correcting
spot: spotting spot spotted
refine: refined refining refine
balance: balance balancing balanced
consider: consider considering considered
lean: leaner leaning lean
alarm: alarming alarmed alarm
drag: drag dragging dragged
cloud: clouding cloud clouded
bleach: bleaching bleach bleached
convince: convince convinced convincing
angle: angle angling angled
point: pointed pointing point
disturb: disturbing disturbed disturb
fade: faded fading fade
rattle: rattled rattle rattles
unfold: unfolding unfolded unfold
size: sized size sizes
retire: retiring retired retire
head: headed heading head
easy: easiest easier easy
exhaust: exhausting exhausted exhaust
teach: teaching teach taught
touch: touching touch touched
switch: switched switching switch
score: score scored scoring
rush: rushing rush rushed
bend: bend bending bent
constrain: constrained constraining constrain
high: high highest higher
shape: shaped shape shaping
keep: keep kept keeping
weather: weather weathering weathered
brief: briefing briefs brief
worry: worry worried worrying
undergo: undergoing underwent undergo
think: thinking thought think
cover: covered cover covering
double: doubling doubled double
excite: excited excite exciting
drink: drunk drink drinking
scratch: scratch scratches scratching
free: freed freeing free
concern: concerning concern concerned
pit: pitted pitting pit
transfer: transfer transferring transferred
flank: flank flanked flanking
twin: twinning twin twinned
arm: arms arm armed
try: tried try trying
rotate: rotate rotated rotating
affect: affected affect affecting
mean: mean meaning meant
beat: beating beaten beat
sleep: slept sleep sleeping
couple: coupling couple coupled
raise: raise raised raising
taste: tasting taste tasted
dart: dart darts darting
beam: beaming beam beamed
ship: shipping shipped ship
shear: shears shear shearing
base: bases based base
design: design designed designing
li: lis liss li
seek: seek sought seeking
favor: favoring favored favor
absorb: absorbed absorb absorbing
calculate: calculate calculated calculating
stand: standing stand stood
deserve: deserved deserving deserve
ally: allies ally allied
range: ranged range ranging
bury: buried burying bury
group: grouping group grouped
bind: bind bound binding
sail: sailed sail sailing
fish: fished fish fishing
step: stepped stepping step
bed: bedding bed bedded
live: living live lived
form: forming formed form
late: later latest late
