fly: flew flown flying flyer fly
side: sider sided side sides siding
go: going goes go gone went
work: worked works wrought working work
dry: dried drier driest dry drying
sink: sinking sunk sank sink sunken
eat: eats eaten eat eating ate
sing: singed singing sing sang sung
travel: traveling traveled travel travelled
know: known knowing know knew
come: came comes come coming
time: times time timing timed
shrink: shrunk shrink shrank shrinking
take: taken taking take took
give: give gave giving given
learn: learnt learning learn learned
spin: spin spinning spined spun
leave: left leaves leave leaving
write: write written wrote writing
link: link links linked linking
top: topped tops top topping
melt: melt molten melting melted
warm: warmer warming warm warmed
rise: risen rose rising rise
color: colors color colored coloring
scale: scale scaling scales scaled
drive: driven drove driving drive
surround: surrounding surround surrounded surroundings
round: rounded rounding rounder round
bear: born bearing bear borne
speak: speaking spoke spoken speak
break: breaking break broke broken
draw: drew drawn draw drawing
bar: barring bar barred baring
burn: burned burnt burning burn
light: lighting lighter light lit
turn: turn turning turns turned
prove: proving prove proven proved
strip: strip striped stripped stripping
trap: trapped trapping trap traps
wear: worn wearing wore wear
grow: grew grown grow growing
man: manes man maned manning
stick: sticks stuck sticking stick
quarter: quartered quarters quarter quartering
tear: torn tear tearing tore
fit: fit fitted fitter fitting
spark: sparking sparks sparked spark
choose: chosen choosing chose choose
bite: bitten bit bite biting
arch: arching arches arch arched
dig: dug digging dig digs
mistake: mistook mistaken mistaking mistake
steal: stealing steal stolen stole
swim: swimming swum swam swim
throw: thrown throw threw throwing
shake: shaking shook shake shaken
clothe: clad clothing clothe clothes
swell: swollen swelled swell swelling
sleep: sleep slept sleeping
distinguish: distinguish distinguished distinguishing
lose: lose lost losing
see: seeing see seen
late: later latest late
correct: corrected correcting correct
white: whiting white whites
shape: shape shaped shaping
fix: fixed fixing fix
think: think thinking thought
absorb: absorbed absorbing absorb
begin: begun begin beginning
reflect: reflected reflect reflecting
form: form forming formed
separate: separate separating separates
agree: agreeing agreed agree
catch: caught catching catch
ring: ringed ringing ring
spend: spending spent spend
design: design designing designed
single: singled singles single
unite: unite uniting united
space: spacing spaced space
settle: settling settle settled
make: made make making
index: index indexed indices
star: starring staring star
test: testing tested test
arm: arm armed arms
long: longing longer long
content: contents contented content
circle: circling circle circled
teach: taught teaching teach
cool: cool cooler cooling
affect: affect affecting affected
high: highest high higher
transfer: transferred transferring transfer
log: logged log logging
stay: stays stay stayed
mark: marked marking mark
mine: mining mines mine
tip: tipping tipped tip
advance: advancing advance advanced
assume: assume assumed assuming
blue: bluer blues blue
expand: expanding expand expanded
exhaust: exhausted exhaust exhausting
fade: faded fade fading
convert: converted convert converting
scatter: scattering scattered scatter
twin: twin twinning twinned
force: force forcing forced
lead: lead leading led
puzzle: puzzle puzzled puzzling
clear: clearer clear clearing
group: grouping grouped group
still: still stilling stiller
shell: shelled shell shelling
brief: briefs briefing brief
extend: extended extend extending
provide: provide providing provided
lean: leaner leaning lean
line: line lined lining
find: found finding find
sustain: sustain sustaining sustained
class: class classed classes
print: printing printed print
rotate: rotate rotating rotated
measure: measuring measure measured
reveal: revealed revealing reveal
well: well welling better
cloud: clouded cloud clouding
pile: piling piles pile
stand: standing stand stood
mount: mounting mounted mount
lock: lock locking locked
ice: icing iced ice
limit: limited limiting limit
land: land landed landing
carry: carrying carry carried
reason: reasoned reason reasoning
li: lis li liss
cluster: clustered clustering cluster
cover: covering cover covered
back: backing backed back
base: base bases based
save: saved save saving
sound: sounder sounding sound
block: blocking block blocked
confirm: confirmed confirming confirm
mean: meaning mean meant
perturb: perturbing perturbed perturb
refract: refracted refract refracting
age: aging aged age
close: close closer closed
real: real reis reales
become: become becoming becomes
bed: bedded bedding bed
reduce: reduced reducing reduce
face: faced face facing
consider: consider considered considering
list: list listed listing
big: biggest bigger big
end: end ending ended
size: size sizes sized
transport: transported transporting transport
fast: fast fasting faster
skin: skinned skinning skin
net: net netting netted
ground: grounds grounded ground
grind: grind grinding ground
frame: framing framed frame
peak: peak peaked peaking
touch: touching touch touched
point: pointing pointed point
calculate: calculated calculate calculating
lie: lying lain lie
undergo: undergoing undergo underwent
pattern: pattern patterned patterning
thin: thinner thinning thin
branch: branching branch branched
drag: dragging dragged drag
edge: edged edging edge
build: build building built
wind: wound wind winding
live: living live lived
send: sending sent send
stop: stopped stop stopping
show: shown show showing
free: freeing free freed
understand: understanding understood understand
shear: shearing shears shear
fill: fill filling filled
angle: angled angle angling
fall: fall falling fallen
zone: zoned zone zoning
weather: weathering weathered weather
bend: bend bent bending
range: ranged range ranging
shield: shielded shield shielding
cross: crossing cross crossed
tan: tanning tanner tan
equal: equal equalling equaling
wet: wetting wetter wet
strike: strike striking struck
keep: keeping kept keep
shadow: shadowed shadowing shadow
inspire: inspire inspired inspiring
possess: possess possessed possessing
fire: fire firing fired
interest: interesting interest interested
switch: switch switched switching
meet: met meet meeting
good: goods good better
wan: waned waning wan
balance: balanced balance balancing
seek: seeking seek sought
bind: bound bind binding
count: count countess counting
wire: wire wired wiring
get: getting got get
illuminate: illuminated illuminate illuminating
spring: spring sprung springing
concern: concerning concern concerned
forward: forwarder forward forwards
flood: flood flooding flooded
head: head headed heading
crack: cracked crack cracking
blast: blasted blasting blast
paint: paint painted painting
step: stepping stepped step
reverse: reversing reverse reversed
freeze: freezing freeze frozen
bad: worst worse bad
constrain: constrained constrain constraining
raise: raising raise raised
need: need needing needs
say: say said saying
sight: sighting sighted sight
garden: gardened garden gardening
bridge: bridged bridging bridge
couple: coupling coupled couple
sweep: sweeping sweep swept
bill: billed billing bill
combine: combine combined combining
waste: wasting wasted waste
fund: fund funded funds
remove: removed remove removing
watch: watch watched watching
tail: tailed tail tailing
deal: dealing dealt deal
double: double doubled doubling
oppose: opposing oppose opposed
underlie: underlying underlain underlie
taste: tasted tasting taste
refine: refine refined refining
satisfy: satisfying satisfied satisfy
divide: dividing divided divide
excite: excite exciting excited
entangle: entangle entangling entangled
damp: damping damp damped
web: webbing webbed web
try: tried trying try
beam: beam beaming beamed
shoot: shooting shoot shot
twist: twisting twisted twist
weigh: weighing weighed weigh
fish: fished fish fishing
wrap: wrapped wrapping wrap
blow: blow blowing blown
dim: dim dimmer dimmed
confine: confined confine confining
string: string strung stringed
crush: crushed crushing crush
arise: arise arose arisen
spot: spotted spot spotting
plot: plotting plotted plot
wake: wakes waking wake
pin: pinning pinned pin
easy: easier easiest easy
gain: gain gaining gains
pit: pitting pit pitted
tell: told telling tell
stuff: stuffed stuffing stuff
forget: forgotten forgot forget
load: loaded load loading
bond: bonded bond bonding
dog: dogs dog dogged
cap: cap capping capped
blink: blinks blink blinking
disturb: disturb disturbing disturbed
chill: chill chilled chilling
favor: favored favoring favor
band: band banded banding
unveil: unveiling unveiled unveil
convince: convinced convincing convince
keel: keeling keel keeled
channel: channeled channeling channel
smoke: smoking smoked smoke
lay: lay laid laying
retire: retire retired retiring
feed: feeding fed feed
slay: slay slaying slain
assure: assured assure assuring
warp: warped warp warping
wound: wounds wound wounded
wheel: wheeling wheel wheeled
rush: rushed rushing rush
shade: shaded shading shade
run: run running ran
drink: drinking drink drunk
finish: finish finishing finished
coat: coated coating coat
ski: skiing ski skied
slice: sliced slice slicing
sole: soles soler sole
traverse: traversing traverse traversed
clean: cleaner cleaning clean
snap: snapping snaps snap
wash: washing wash washed
train: training train trained
earn: earnings earn earning
scar: scarred scar scarring
lime: lime limes liming
swing: swinging swing swung
mat: mat matted mating
sail: sail sailing sailed
slip: slipping slipped slip
alarm: alarm alarming alarmed
seal: sealed sealing seal
coil: coiling coil coiled
blend: blend blending blended
stock: stocking stocks stock
blame: blamed blame blaming
sack: sacking sacked sack
deserve: deserving deserve deserved
border: bordering border bordered
engage: engaged engage engaging
screen: screened screening screen
dip: dipping dip dipped
rat: rat rated rating
roll: rolled roll rolling
wish: wish wished wishing
proceed: proceeds proceeding proceed
pant: panting pants pant
dart: darts dart darting
worry: worried worrying worry
sit: sit sat sitting
ride: rode ridden ride
fight: fighting fight fought
sell: selling sold sell
handle: handle handling handled
chip: chipping chip chips
undertake: undertaking undertook undertake
rattle: rattle rattles rattled
boot: boots booting boot
bury: buried burying bury
slash: slashed slash slashing
sport: sporting sports sport
curl: curled curling curl
seat: seating seated seat
breed: bred breed breeding
cup: cupping cupped cup
shore: shored shoring shore
poll: polling poll polled
subdue: subdued subduing subdue
partition: partitioned partition partitioning
ally: allied ally allies
fold: fold folding folded
unfold: unfolding unfolded unfold
guard: guarded guarding guard
swear: swore sworn swear
ship: shipped shipping ship
bridle: bridled bridle bridling
ramp: ramp ramping ramped
score: score scoring scored
bleach: bleaching bleach bleached
fringe: fringed fringing fringe
rid: rid ridding riding
flank: flank flanking flanked
withdraw: withdraw withdrawn withdrawing
dive: dove dive diving
dwell: dwelt dwelling dwell
squat: squatting squatted squatter
beat: beaten beat beating
brush: brush brushed brushing
paddle: paddling paddled paddle
brace: braces brace bracing
bead: beaded bead beading
frighten: frighten frightening frightened
weave: woven weave weaving
weep: weeps weeping weep
admire: admiring admire admired
cleave: cleave cleft clove
forge: forging forged forge
dress: dress dressing dressed
sew: sew sewing sewn
scratch: scratch scratching scratches
graft: grafted graft grafting
pounce: pounced pouncing pounce
crouch: crouched crouching crouch
stag: staged stag staging
heat: heating heat
produce: produce produced
isolate: isolated isolate
license: license licensed
pass: pass passing
dredge: dredge dredging
acquire: acquire acquired
dominate: dominate dominated
ca: ca cass
water: water watering
die: die dying
proportion: proportioned proportion
winter: wintering winter
nebula: nebulae nebula
house: house housing
u: u us
diverge: diverging diverge
common: common commons
glow: glowing glow
surface: surfacing surface
center: centered center
set: setting set
hypothesis: hypothesis hypotheses
loop: looping loop
practice: practiced practice
effect: effect effects
date: dating date
suggest: suggest suggesting
cycle: cycle cycling
great: greater great
